YEAR,MONTH,Ward_ID,IncidentsTotal_TP,Dark,Dawn,Daylight,Dusk,Inv_PED,Inv_CYC,Inv_AM,Inv_MC,Inv_TC,Speeding,Ag_Driv,Redlight,Alcohol,Disability,SeverityScore,IncidentsTotal_Geotab,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,Daily_dif,Max_Temp,Min_Temp,Ave_Temp,Rain_vol,Snow_vol
2007,1,1,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0.021,9,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,2,14,6,0,8,0,2,0,14,0,0,4,7,3,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,4,6,3,0,3,0,0,0,6,0,3,0,3,3,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,7,4,2,0,2,0,4,0,4,0,0,0,4,0,0,0,0.037,56,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,11,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,13,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,14,3,0,0,3,0,3,0,3,0,0,0,3,0,0,0,0.0139,9,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,17,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,18,3,0,0,3,0,3,0,3,0,0,0,3,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,21,5,0,0,5,0,0,0,5,0,0,0,0,0,0,5,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,23,3,0,0,0,3,3,0,3,0,0,0,3,0,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,25,6,0,0,6,0,0,0,6,0,3,3,6,3,0,0,,0,,,,,,,,,,17.5,12,-20.9,-2.819354839,0.829411765,0.703225806
2007,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
